StudentID&Studiejaar&Sportsoort&Frequentie&Gezondheidsscore&GemiddeldCijfer&Geslacht&Sportclub
1&Derdejaar&Zwemmen&1&8,2&6,2&Vrouw&Nee
2&Tweedejaar&Tennis&2&10,0&9,0&Vrouw&Ja
3&Derdejaar&Voetbal&3&6,1&6,8&Vrouw&Ja
4&Derdejaar&Hardlopen&3&8,6&6,9&Vrouw&Nee
5&Eerstejaar&Zwemmen&3&7,6&8,5&Vrouw&Ja
6&Derdejaar&Zwemmen&3&8,2&6,0&Vrouw&Ja
7&Derdejaar&Zwemmen&0&4,9&8,5&Vrouw&Ja
8&Tweedejaar&Zwemmen&6&6,4&9,5&Vrouw&Nee
9&Vierdejaar&Tennis&6&5,4&8,6&Non-binair&Ja
10&Derdejaar&Zwemmen&1&6,1&7,5&Non-binair&Ja
11&Vierdejaar&Voetbal&7&7,1&7,5&Vrouw&Ja
12&Tweedejaar&Hardlopen&6&8,0&8,9&Vrouw&Ja
13&Derdejaar&Hardlopen&6&4,6&8,0&Vrouw&Ja
14&Tweedejaar&Hardlopen&3&4,8&5,9&Man&Nee
15&Eerstejaar&Tennis&1&5,9&8,1&Non-binair&Nee
16&Tweedejaar&Voetbal&6&8,0&9,2&Man&Ja
17&Derdejaar&Zwemmen&4&9,1&7,0&Non-binair&Ja
18&Vierdejaar&Voetbal&6&7,3&9,7&Man&Nee
19&Tweedejaar&Zwemmen&3&9,1&8,9&Non-binair&Nee
20&Eerstejaar&Tennis&6&6,3&8,1&Man&Nee
21&Derdejaar&Hardlopen&1&5,9&8,9&Man&Nee
22&Eerstejaar&Zwemmen&5&6,1&5,9&Non-binair&Nee
23&Vierdejaar&Voetbal&6&5,0&9,4&Non-binair&Nee
24&Tweedejaar&Zwemmen&2&9,0&9,2&Non-binair&Ja
25&Vierdejaar&Zwemmen&3&6,0&9,6&Vrouw&Ja
26&Derdejaar&Hardlopen&4&7,3&6,1&Non-binair&Nee
27&Tweedejaar&Voetbal&3&7,5&5,9&Vrouw&Ja
28&Eerstejaar&Hardlopen&1&7,1&6,1&Man&Nee
29&Eerstejaar&Hardlopen&7&4,0&7,3&Man&Nee
30&Eerstejaar&Zwemmen&5&9,9&7,4&Non-binair&Ja
31&Eerstejaar&Hardlopen&0&9,4&8,0&Non-binair&Nee
32&Tweedejaar&Tennis&5&5,2&6,1&Vrouw&Ja
33&Vierdejaar&Hardlopen&0&5,8&6,4&Non-binair&Nee
34&Vierdejaar&Zwemmen&5&7,1&9,2&Vrouw&Ja
35&Derdejaar&Tennis&6&9,4&7,6&Non-binair&Ja
36&Eerstejaar&Hardlopen&6&9,9&9,1&Vrouw&Nee
37&Vierdejaar&Tennis&7&5,5&5,5&Man&Nee
38&Derdejaar&Zwemmen&3&7,4&8,0&Vrouw&Nee
39&Eerstejaar&Voetbal&0&8,8&9,7&Vrouw&Ja
40&Vierdejaar&Voetbal&1&6,4&8,1&Vrouw&Ja
41&Eerstejaar&Tennis&5&8,4&6,4&Non-binair&Nee
42&Tweedejaar&Voetbal&1&5,0&8,7&Non-binair&Nee
43&Eerstejaar&Zwemmen&0&7,6&7,2&Non-binair&Nee
44&Vierdejaar&Tennis&3&9,2&8,5&Man&Ja
45&Tweedejaar&Tennis&5&9,9&5,6&Non-binair&Ja
46&Vierdejaar&Hardlopen&1&4,5&8,4&Vrouw&Nee
47&Eerstejaar&Voetbal&3&6,6&5,6&Vrouw&Nee
48&Eerstejaar&Tennis&4&5,2&8,9&Non-binair&Nee
49&Eerstejaar&Tennis&6&6,7&7,6&Non-binair&Nee
50&Derdejaar&Voetbal&7&7,3&6,0&Man&Nee
51&Tweedejaar&Voetbal&5&4,6&7,9&Vrouw&Ja
52&Tweedejaar&Hardlopen&6&5,8&5,8&Man&Nee
53&Derdejaar&Tennis&4&9,6&8,4&Man&Ja
54&Derdejaar&Zwemmen&1&7,4&10,0&Non-binair&Ja
55&Vierdejaar&Hardlopen&4&6,7&9,0&Non-binair&Ja
56&Derdejaar&Hardlopen&6&8,5&8,1&Vrouw&Nee
57&Tweedejaar&Hardlopen&4&8,5&6,0&Non-binair&Ja
58&Eerstejaar&Tennis&3&4,3&8,6&Vrouw&Nee
59&Eerstejaar&Tennis&4&8,3&8,5&Vrouw&Nee
60&Vierdejaar&Hardlopen&3&9,0&5,7&Man&Nee
